frame_idx,filename,dioptra_abs_rel,dioptra_rmse,dioptra_delta1,dioptra_scale,unidepth_abs_rel,unidepth_rmse,unidepth_delta1,unidepth_scale,m3d_direct_abs_rel,m3d_direct_rmse,m3d_direct_delta1,m3d_direct_scale,m3d_median_abs_rel,m3d_median_rmse,m3d_median_delta1,da_outdoor_abs_rel,da_outdoor_rmse,da_outdoor_delta1,da_outdoor_scale,da_indoor_abs_rel,da_indoor_rmse,da_indoor_delta1,da_indoor_scale,zoe_abs_rel,zoe_rmse,zoe_delta1,zoe_scale,da_midas_abs_rel,da_midas_rmse,da_midas_delta1,da_median_abs_rel,da_median_rmse,da_median_delta1
0,000000_left.png,0.0825421065092086,2.527168035507202,95.29955641066752,1.0433067083358765,0.1287856996059417,10.66179084777832,78.71925142554038,0.9422101974487304,0.210453987121582,6.390754699707031,46.41874419838218,0.784302294254303,0.0854057744145393,5.420809268951416,94.9165395836096,2.7084293365478516,12.864182472229004,1.3161384431772976,3.838348388671875,0.2254215329885482,6.820596218109131,54.18918246916854,1.3125091791152954,2.0760881900787354,9.773516654968262,0.9050523803209124,3.250455617904663,0.11204670369625092,6.900064945220947,90.27954546396752,0.11321444064378738,2.2730588912963867,89.05241425627972
1,000001_left.png,0.0868695229291915,2.483406782150269,94.2299349240781,1.0210343599319458,0.1417851150035858,10.53457260131836,67.16168849682191,0.9530260562896729,0.2136826962232589,5.906782627105713,56.30628742012846,0.7767284512519836,0.10219506919384,4.819751262664795,94.73350998708638,2.686253786087036,12.47489070892334,1.3668304627098462,3.75960111618042,0.192264050245285,6.76737117767334,62.11992889127409,1.2660207748413086,2.184013843536377,10.124829292297363,0.9018565414996562,3.311150550842285,0.0832943469285965,4.003432750701904,92.33372899199315,0.07525340467691422,1.842890977859497,92.81019708834373
2,000002_left.png,0.0906916558742523,2.4684364795684814,93.2864044168392,1.0084917545318604,0.1163814961910247,11.146163940429688,87.61731668801954,0.9608691334724426,0.2105621397495269,5.924064636230469,55.59736274213526,0.7871959209442139,0.1001631766557693,4.964662075042725,93.64521305349002,2.681978464126587,12.421981811523438,1.3671517529933046,3.779136657714844,0.2322829961776733,6.810585021972656,54.48474297802427,1.327137470245361,2.2434170246124268,9.974534034729004,0.8985234590812161,3.3730826377868652,0.07370195537805557,2.00217604637146,95.57499137736484,0.06887003779411316,1.8034530878067017,95.39657734610194
3,000003_left.png,0.0909724608063697,2.477914333343506,92.62813276134568,1.016927719116211,0.1130731031298637,10.21526336669922,91.05825406945728,0.961695671081543,0.2871446013450622,7.985471725463867,15.902220255986538,0.7275095582008362,0.1071688830852508,7.012426376342773,90.50915383914746,2.5947153568267822,12.052282333374023,1.5687958396766122,3.771934747695923,0.2499189227819442,6.95290470123291,51.25586075581522,1.3332093954086304,2.2215497493743896,9.89895725250244,0.9620097241920722,3.270641326904297,0.08058301359415054,2.8101437091827393,93.74411367710182,0.07522090524435043,1.820733904838562,95.09042694015373
4,000004_left.png,0.089876964688301,2.6262829303741455,91.2974040304315,1.0049976110458374,0.1047409623861312,9.832886695861816,90.66790608307352,0.99322247505188,0.3093231618404388,9.054346084594728,20.027842392488783,0.7225693464279175,0.1387032717466354,8.25273609161377,86.92119179672385,2.455339193344116,11.05767822265625,1.6976743151705456,3.5023996829986572,0.297707200050354,7.240930557250977,37.39019823249732,1.32429301738739,2.1916182041168213,9.913689613342283,0.9495768045295035,3.1726067066192627,0.08520010858774185,3.2205970287323,92.3214198297308,0.08014204353094101,2.2219655513763428,93.81138658584888
5,000005_left.png,0.0920027568936348,2.587772846221924,88.03580547295064,0.999814748764038,0.0955286547541618,9.823478698730469,91.25270027931552,1.0088547468185425,0.2610737085342407,9.11281394958496,36.36284415661849,0.7961747050285339,0.1836888045072555,8.461774826049805,78.85641164410892,2.0857012271881104,10.176283836364746,1.9625469539014735,3.18054723739624,0.3484614789485931,7.548068523406982,29.368031444781295,1.370618462562561,1.6437000036239624,8.771638870239258,0.9471043374168132,2.738481283187866,0.09594198316335678,2.7114572525024414,91.33369739299629,0.1010778546333313,3.3758270740509033,89.8854129859164
6,000006_left.png,0.0854174569249153,2.7500221729278564,90.6563297839218,1.0099307298660278,0.0874982476234436,11.112536430358888,92.8416804429897,0.9869651198387146,0.2612493634223938,8.938780784606934,38.0079673726144,0.7548737525939941,0.1756865084171295,7.889928817749023,75.12161848506236,1.9018086194992063,9.874629974365234,2.2964222612748744,2.882643222808838,0.3609728813171386,7.88699197769165,28.21643590338731,1.3781877756118774,1.3876549005508425,8.107317924499512,1.303105949003131,2.34623122215271,0.09461065381765366,4.084320068359375,90.23920813857575,0.08969192951917648,3.306668281555176,91.16835588254814
7,000007_left.png,0.0775164887309074,2.907933473587036,92.4759545790845,0.990351676940918,0.0809342265129089,14.76222324371338,94.26841338020272,1.0219731330871582,0.2759603261947632,8.896366119384766,34.843424715639,0.7826194763183594,0.1991622000932693,7.864869594573975,72.33812265673374,1.7887288331985474,9.822318077087402,2.71757943337445,2.8425042629241943,0.345630407333374,8.189282417297363,25.639538001745414,1.3585244417190552,1.3809081315994265,8.58806037902832,1.6298650961196242,2.451049327850342,0.10814009606838226,5.956809043884277,86.96488273909753,0.08720757812261581,3.1145079135894775,91.92278595309564
8,000008_left.png,0.0712135806679725,2.9039433002471924,93.62319796786858,1.0047571659088137,0.1021436601877212,14.902066230773926,90.2385771113526,0.9811334013938904,0.3174519836902618,9.404611587524414,25.09047585814981,0.7374910116195679,0.167231485247612,8.119122505187988,75.52715272723647,1.679479956626892,9.510809898376465,2.8154691285405224,2.818791389465332,0.3377416729927063,8.409035682678223,27.913920819915656,1.3000171184539795,1.220893621444702,8.307051658630371,1.416707376648754,2.275954246520996,0.07778637856245041,3.247323989868164,94.62055955363469,0.07639889419078827,2.6574344635009766,93.86347530118678
9,000009_left.png,0.0746118947863578,2.8397183418273926,96.08431703204047,0.9953984022140504,0.1017588078975677,14.141331672668455,90.12422833625486,0.9561026096343994,0.2657443284988403,8.911307334899902,30.478368010568303,0.781086266040802,0.1812317371368408,7.826930999755859,71.74453166679369,1.7153712511062622,9.48939323425293,2.995198536696898,2.8351409435272217,0.347486138343811,8.54751205444336,22.89307217437695,1.3176246881484983,1.114388942718506,7.850363731384277,1.718364962020171,2.180206298828125,0.09675842523574829,4.197996616363525,91.39610967797739,0.07986363023519516,2.2698593139648438,94.84020983112767
10,000010_left.png,0.0627307593822479,3.0562474727630615,95.74526773092438,0.970339834690094,0.1104746311902999,15.763243675231934,89.57896752094297,0.9647834300994872,0.3245233595371246,11.021811485290527,26.863393406911825,0.7445381283760071,0.2121899276971817,10.12047004699707,67.66013153060855,1.6462830305099487,9.309048652648926,2.2616848543176915,2.7171630859375,0.3529146015644073,8.781413078308105,20.99936356157154,1.3133583068847656,1.0620602369308472,8.001758575439453,1.738563511898294,2.1168806552886963,0.11286953836679459,3.8884594440460205,82.16653888393874,0.10415663570165634,2.2657113075256348,86.73459872769847
